,Scenario,Answer
38,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 2 women and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 women and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large women and 1 large man, who were crossing in the other lane.
",Case 2
39,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 woman and 1 large woman, who were crossing in the other lane.
",Case2
40,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 woman, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case 1
41,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman, who was crossing in the other lane. Meanwhile, it will spare 1 female athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 woman, who was crossing in the other lane.
",Case 2
42,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman, 3 large men, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes, 2 male athletes, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes, 2 male athletes, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 woman, 3 large men, and 1 large woman, who were crossing in the other lane.
",Case 2
43,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, 1 large woman, 1 woman, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 2 men, 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men, 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, 1 large woman, 1 woman, and 1 man, who were crossing in the other lane.
",Case1
44,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case 1
45,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large women, 1 woman, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 3 female athletes, 1 male athlete, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 female athletes, 1 male athlete, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 3 large women, 1 woman, and 1 man, who were crossing in the other lane.
",Case 2
46,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 1 woman, who were crossing in the other lane.
",Case2
47,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 4 large men, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 3 men, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 3 men, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 4 large men, who were crossing in the other lane.
",Case 2
48,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 2 men and 2 women, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men and 2 women, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 1
49,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 woman and 1 large woman, who were crossing in the other lane.
",Case2
50,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 female athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case 2
51,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, 2 large women, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 1 woman, 1 female athlete, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 1 woman, 1 female athlete, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, 2 large women, and 1 man, who were crossing in the other lane.
",Case 2
52,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 4 large women and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 3 female athletes and 2 women, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 female athletes and 2 women, who were crossing ahead of the car. Meanwhile, it will spare 4 large women and 1 woman, who were crossing in the other lane.
",Case 1
53,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes and 2 female athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes and 2 female athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 1
54,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, 2 large men, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 1 man, and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 1 man, and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman, 2 large men, and 1 man, who were crossing in the other lane.
",Case 2
55,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 men and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 large woman, who were crossing in the other lane.
",Case 2
56,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case1
57,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 men, 2 large men, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 3 male athletes, 1 man, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 male athletes, 1 man, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 men, 2 large men, and 1 large woman, who were crossing in the other lane.
",Case 2
