,Unnamed: 0,case1,case2,saved
10,2541,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
11,4093,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
12,4330,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
13,5689,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
14,6005,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
15,6748,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
16,7517,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
17,7690,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
18,8036,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
19,8572,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
20,8911,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
21,8970,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
22,9160,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
23,9165,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
24,9940,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
25,10012,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
26,10113,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
27,10132,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
28,10409,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
29,11015,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
30,11548,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
31,11656,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
32,12022,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
33,12244,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
34,12278,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
35,12674,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
36,12759,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
37,12846,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
38,13272,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
39,13284,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
40,15055,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
41,15156,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
42,15454,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
43,15791,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
44,16453,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
45,16751,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
46,17130,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
47,17874,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
48,18560,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
49,19075,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case2
50,19930,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 OldMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Boy. , who were crossing ahead of the car",case1
